ID;PLZ;Strasse;Betreff;Cons_2011;Days_2011;Cons_2012;Days_2012;Cons_2013;Days_2013;FilterNonHousehold;Portal;pPoints;pEarnedPoints;pHouseholdType;pMainHeatingType;pWaterHeatingType;pLivingAreaM2;pHouseholdMembers;pCreated;pLastVisited
1;3604;Adlerstrasse;;3460;364;3116;365;3398;365;1;0;NA;NA;NA;NA;NA;0;0;NA;NA
2;8200;Amselweg;Whg 38 Strom;3028;364;4539;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
3;8200;Amselweg;Whg 39 Strom;1777;364;2478;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
4;8200;Amselweg;Whg 37 Strom;2173;364;2879;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
5;8200;Amselweg;Whg 34 Strom;0;0;1130;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
6;8200;Amselweg;Whg 34 Strom;165;119;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
7;8200;Amselweg;Whg 34 Strom;503;242;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
8;8200;Amselweg;Whg 36 Strom;1731;364;1795;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
9;8200;Amselweg;Whg 35 Strom;1286;364;1713;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
10;8200;Amselweg;Whg 33 Strom;1659;272;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
11;8200;Amselweg;Whg 33 Strom;486;91;2884;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
12;8200;Amselweg;Whg 32 Strom;1594;364;1910;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
13;8200;Amselweg;Whg 31 Strom;1514;364;2064;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
14;8200;Amselweg;Whg 28 Strom;1511;364;1991;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
15;8200;Amselweg;Whg 30 Strom;1452;364;1664;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
16;8200;Amselweg;Whg 29 Strom;0;0;778;333;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
17;8200;Amselweg;Whg 29 Strom;1437;364;278;122;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
18;8200;Amselweg;Whg 26 Strom;1617;364;2114;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
19;8200;Amselweg;Whg 25 Strom;902;364;1125;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
20;8200;Amselweg;Whg 27 Strom;2216;364;3575;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
21;8200;Amselweg;Whg 24 Strom;0;0;2000;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
22;8200;Amselweg;Whg 24 Strom;2026;425;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
23;8200;Amselweg;Whg 23 Strom;2338;364;2730;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
24;8200;Amselweg;Whg 22 Strom;747;364;910;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
25;8200;Amselweg;Whg 19 Strom;1232;364;1618;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
26;8200;Amselweg;Whg 20 Strom;1379;395;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
27;8200;Amselweg;Whg 20 Strom;0;0;2748;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
28;8200;Amselweg;Whg 21 Strom;799;364;940;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
29;8200;Amselweg;Whg 17 Strom;620;181;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
30;8200;Amselweg;Whg 17 Strom;581;152;1441;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
