VID;household_type;heating_type;survey_WP_type;survey_WP_age
7855756;NA;NA;NA;NA
8775499;single family house;heat pump;geothermal;<10 years
4693828;multi-family house;heat pump;geothermal;<10 years
9620560;NA;NA;NA;NA
2861642;single family house;electric heating;NA;NA
3398533;NA;NA;NA;NA
6106788;NA;NA;NA;NA
4837198;NA;NA;NA;NA
3701625;NA;NA;NA;NA
8267248;NA;NA;NA;NA
5276867;NA;NA;NA;NA
2409553;NA;NA;NA;NA
9076397;single family house;heat pump;geothermal;10-20 years
5680328;NA;NA;NA;NA
3534107;teraced house;electric heating;NA;NA
7484091;NA;NA;NA;NA
8910892;single family house;heat pump;geothermal;<10 years
2867930;NA;NA;NA;NA
6438108;multi-family house;heat pump;geothermal;<10 years
9888864;NA;NA;NA;NA
6339085;multi-family house;electric heating;NA;NA
8778700;NA;NA;NA;NA
5740448;single family house;heat pump;geothermal;>30 years
9462472;NA;NA;NA;NA
3145361;single family house;heat pump;air;<10 years
5270903;NA;NA;NA;NA
8285625;NA;NA;NA;NA
3210388;NA;NA;NA;NA
6196021;NA;NA;NA;NA
3906049;NA;NA;NA;NA
3134691;single family house;electric heating;NA;NA
8685145;NA;NA;NA;NA
6124508;NA;NA;NA;NA
5429604;NA;NA;NA;NA
8222100;NA;NA;NA;NA
5552697;multi-family house;electric heating;NA;NA
4299430;NA;NA;NA;NA
4952170;NA;NA;NA;NA
1646660;NA;NA;NA;NA
1481540;NA;NA;NA;NA
3070720;NA;NA;NA;NA
3895739;NA;NA;NA;NA
7649088;NA;NA;NA;NA
2703900;NA;NA;NA;NA
7527928;NA;NA;NA;NA
4150003;single family house;heat pump;air;10-20 years
4668478;NA;NA;NA;NA
7433333;multi-family house;electric heating;NA;NA
5861969;NA;NA;NA;NA
3696901;NA;NA;NA;NA
4342527;NA;NA;NA;NA
2847869;NA;NA;NA;NA
1184602;NA;NA;NA;NA
7331578;NA;NA;NA;NA
8147994;NA;NA;NA;NA
1471867;NA;NA;NA;NA
3526144;NA;NA;NA;NA
4176872;NA;NA;NA;NA
3866404;NA;NA;NA;NA
6568131;NA;NA;NA;NA
6305847;single family house;heat pump;air;<10 years
6628259;NA;NA;NA;NA
5394240;NA;NA;NA;NA
1563635;NA;NA;NA;NA
3325595;NA;NA;NA;NA
2526631;NA;NA;NA;NA
8401242;single family house;heat pump;air;10-20 years
5875304;NA;NA;NA;NA
2200278;NA;NA;NA;NA
8449519;NA;NA;NA;NA
8174748;single family house;heat pump;NA;<10 years
7449970;single family house;heat pump;geothermal;<10 years
6498341;NA;NA;NA;NA
5672406;NA;NA;NA;NA
4444344;NA;NA;NA;NA
6351058;NA;NA;NA;NA
6388915;NA;NA;NA;NA
2970352;NA;NA;NA;NA
7951220;multi-family house;electric heating;NA;NA
3509288;multi-family house;electric heating;NA;NA
2046645;NA;NA;NA;NA
9743586;NA;NA;NA;NA
6058799;NA;NA;NA;NA
3933164;NA;NA;NA;NA
8085377;multi-family house;electric heating;NA;NA
5525220;NA;NA;NA;NA
7335599;NA;NA;NA;NA
8443879;NA;NA;NA;NA
4383108;NA;NA;NA;NA
1904066;multi-family house;electric heating;NA;NA
4470733;NA;NA;NA;NA
6219102;single family house;heat pump and boiler;air;10-20 years
1636135;single family house;electric heating;NA;NA
1021265;NA;NA;NA;NA
8972431;single family house;electric heating;NA;NA
6706322;NA;NA;NA;NA
3967565;NA;NA;NA;NA
2950314;NA;NA;NA;NA
8475754;NA;NA;NA;NA
7770482;single family house;heat pump;geothermal;<10 years
3254948;single family house;other;NA;NA
8825373;NA;NA;NA;NA
9788790;NA;NA;NA;NA
9854821;NA;NA;NA;NA
5110042;NA;NA;NA;NA
3554398;single family house;heat pump;geothermal;10-20 years
2414971;teraced house;electric heating;NA;NA
7124372;NA;NA;NA;NA
1822213;NA;NA;NA;NA
1068469;NA;NA;NA;NA
6435168;NA;NA;NA;NA
8894228;semidetached house;electric heating;NA;NA
6188144;NA;NA;NA;NA
6954286;single family house;heat pump;geothermal;<10 years
6139214;multi-family house;heat pump;geothermal;10-20 years
5879277;single family house;electric heating;NA;NA
6756779;NA;NA;NA;NA
5794038;single family house;heat pump;geothermal;20-30 years
9654546;semidetached house;heat pump;geothermal;<10 years
9236719;NA;NA;NA;NA
6947917;NA;NA;NA;NA
7938115;NA;NA;NA;NA
8553564;NA;NA;NA;NA
3863209;NA;NA;NA;NA
5238135;NA;NA;NA;NA
4449413;NA;NA;NA;NA
5897864;NA;NA;NA;NA
6705717;NA;NA;NA;NA
1675906;NA;NA;NA;NA
5069667;NA;NA;NA;NA
3708750;NA;NA;NA;NA
8067533;single family house;electric heating;NA;NA
7918270;single family house;heat pump;geothermal;10-20 years
8052429;NA;NA;NA;NA
2601225;NA;NA;NA;NA
4306387;NA;NA;NA;NA
1150426;NA;NA;NA;NA
4798024;single family house;heat pump;geothermal;20-30 years
3717689;NA;NA;NA;NA
4910080;NA;NA;NA;NA
7965317;NA;NA;NA;NA
3055894;teraced house;heat pump;geothermal;<10 years
1551598;NA;NA;NA;NA
2052266;NA;NA;NA;NA
2519845;single family house;heat pump;geothermal;20-30 years
1567100;NA;NA;NA;NA
5216046;NA;NA;NA;NA
7472037;multi-family house;heat pump;geothermal;<10 years
3112810;NA;NA;NA;NA
6497001;semidetached house;electric heating;NA;NA
3973201;single family house;heat pump;geothermal;20-30 years
3490482;NA;NA;NA;NA
5033229;single family house;heat pump;air;<10 years
3041349;semidetached house;electric heating;NA;NA
5304575;semidetached house;electric heating;NA;NA
9380805;NA;NA;NA;NA
2320819;NA;NA;NA;NA
6882268;NA;NA;NA;NA
7107939;NA;NA;NA;NA
2443061;single family house;heat pump;geothermal;10-20 years
3890076;NA;NA;NA;NA
3203399;multi-family house;heat pump;don't know;don't know
9471097;NA;NA;NA;NA
1088982;multi-family house;heat pump;geothermal;<10 years
6227280;NA;NA;NA;NA
9823210;NA;NA;NA;NA
1144900;NA;NA;NA;NA
5137551;NA;NA;NA;NA
5083588;NA;NA;NA;NA
4115642;NA;NA;NA;NA
5350786;semidetached house;heat pump;geothermal;20-30 years
3185430;multi-family house;heat pump;geothermal;<10 years
6495009;NA;NA;NA;NA
2843063;NA;NA;NA;NA
6065907;NA;NA;NA;NA
5708777;NA;NA;NA;NA
7290042;NA;NA;NA;NA
6738869;NA;NA;NA;NA
3627843;NA;NA;NA;NA
4006821;NA;NA;NA;NA
6214062;NA;NA;NA;NA
9907244;NA;NA;NA;NA
4555339;NA;NA;NA;NA
4752661;single family house;heat pump and boiler;geothermal;<10 years
2010841;NA;NA;NA;NA
2056970;NA;NA;NA;NA
8678212;NA;NA;NA;NA
1052383;semidetached house;heat pump;geothermal;10-20 years
9521588;NA;NA;NA;NA
5400676;multi-family house;heat pump;NA;<10 years
8875983;NA;NA;NA;NA
9635190;semidetached house;heat pump;air;20-30 years
8989844;single family house;heat pump and boiler;geothermal;10-20 years
4778048;single family house;heat pump;air;20-30 years
3100158;single family house;heat pump;geothermal;<10 years
7096123;NA;NA;NA;NA
5314693;NA;NA;NA;NA
9350819;NA;NA;NA;NA
5011784;NA;NA;NA;NA
3762109;NA;NA;NA;NA
8420269;NA;NA;NA;NA
9485155;multi-family house;heat pump;geothermal;<10 years
4839876;NA;NA;NA;NA
1294367;NA;NA;NA;NA
2038068;NA;NA;NA;NA
7318130;NA;NA;NA;NA
3655709;single family house;heat pump;air;<10 years
8957050;NA;NA;NA;NA
8597853;multi-family house;electric heating;NA;NA
7090377;NA;NA;NA;NA
8139253;NA;NA;NA;NA
4767556;NA;NA;NA;NA
5069293;NA;NA;NA;NA
1928733;single family house;heat pump;geothermal;10-20 years
2999474;NA;NA;NA;NA
6288182;NA;NA;NA;NA
9359786;NA;NA;NA;NA
